case_id,title,domain,osi_layer,severity,symptom,topology_summary,show_outputs,expected_fault,expected_fix,rule_trigger
NET-011,Extended ACL Implicit Deny Shadowing Web Traffic,Security & ACLs,Layer 4,High,Internal users on 192.168.10.0/24 cannot access Web Server at 172.16.1.100 on TCP port 80/443.,"Router-FW interface Gi0/0/0 in has ACL 101 applied. Sequence 10 denies all IP traffic from 192.168.10.0/24, shadowing sequence 20 permit rule.","Router-FW# show access-lists 101
Extended IP access list 101
    10 deny ip 192.168.10.0 0.0.0.255 any (1420 matches)
    20 permit tcp 192.168.10.0 0.0.0.255 host 172.16.1.100 eq www (0 matches)
    30 permit tcp 192.168.10.0 0.0.0.255 host 172.16.1.100 eq 443 (0 matches)

Router-FW# show ip interface GigabitEthernet0/0/0
GigabitEthernet0/0/0 is up, line protocol is up
  Inbound access list is 101","ACL 101 line 10 'deny ip 192.168.10.0 0.0.0.255 any' shadows lines 20 & 30, dropping all Web traffic before rule evaluation.","Router-FW(config)# ip access-list extended 101
Router-FW(config-ext-nacl)# no 10
Router-FW(config-ext-nacl)# 40 deny ip 192.168.10.0 0.0.0.255 any",RULE-05_ACL_DENY_TRAFFIC
NET-012,Reversed ACL Wildcard Mask Blocking Entire Subnet,Security & ACLs,Layer 4,High,"Admin intended to block single host 192.168.1.50, but all hosts in 192.168.1.0/24 are blocked.",ACL entry written with subnet mask 255.255.255.0 instead of Cisco inverted wildcard mask 0.0.0.0.,"Router1# show access-lists BLOCK_HOST
Standard IP access list BLOCK_HOST
    10 deny 192.168.1.50 255.255.255.0 (350 matches)
    20 permit any","Wildcard mask configured as '255.255.255.0' instead of '0.0.0.0' or host keyword, causing pattern match on all addresses in 192.168.1.0/24.","Router1(config)# ip access-list standard BLOCK_HOST
Router1(config-std-nacl)# no 10
Router1(config-std-nacl)# 10 deny host 192.168.1.50",RULE-05_ACL_DENY_TRAFFIC
NET-013,NAT Inside Interface Configuration Missing,NAT & Edge Routing,Layer 3,High,LAN clients 192.168.10.0/24 cannot reach internet IP 8.8.8.8; router drops unroutable private addresses at ISP gateway.,Edge Router has 'ip nat outside' on Gi0/0/1 (WAN) but missing 'ip nat inside' on LAN subinterface Gi0/0/0.10.,"Router-Edge# show ip nat interface
NAT Interfaces:
  Outside interface: GigabitEthernet0/0/1

Router-Edge# show running-config interface GigabitEthernet0/0/0.10
Building configuration...
interface GigabitEthernet0/0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0
end","LAN interface GigabitEthernet0/0/0.10 lacks 'ip nat inside' directive, preventing NAT translation execution.","Router-Edge(config)# interface GigabitEthernet0/0/0.10
Router-Edge(config-subif)# ip nat inside",RULE-07_NAT_IFACE_MISSING
NET-014,NAT Overload Pool ACL Mismatch,NAT & Edge Routing,Layer 3,High,Users in VLAN 30 (192.168.30.0/24) cannot browse external websites while VLAN 10 users have full internet access.,PAT rule 'ip nat inside source list 1 interface Gi0/0/1 overload' references ACL 1 which only permits 192.168.10.0/24.,"Router-Edge# show ip nat statistics
Total active translations: 12 (0 static, 12 dynamic; 12 extended)
Outside interfaces: GigabitEthernet0/0/1
Inside interfaces: GigabitEthernet0/0/0.10, GigabitEthernet0/0/0.30
Hits: 5410  Misses: 1200

Router-Edge# show access-lists 1
Standard IP access list 1
    10 permit 192.168.10.0 0.0.0.255","NAT ACL 1 only includes subnet 192.168.10.0/24, ignoring VLAN 30 subnet 192.168.30.0/24.",Router-Edge(config)# access-list 1 permit 192.168.30.0 0.0.0.255,RULE-07_NAT_IFACE_MISSING
NET-015,Guest Wi-Fi Isolation Failure (VLAN Mapping),Wireless & Security,Layer 2,Critical,Guest Wi-Fi users connected to 'Guest-Net' SSID are assigned internal corporate IP IPs (10.1.10.x) and can access internal servers.,Access Point WLAN 'Guest-Net' is mapped to corporate VLAN 10 instead of isolated Guest VLAN 99.,"WAP-Floor1# show wlan summary
WLAN ID  SSID Name        Status  VLAN ID  Security
-------  ---------------  ------  -------  ------------
1        Corp-Internal    UP      10       WPA2-Enterprise
2        Guest-Net        UP      10       Open

Switch-AP# show interfaces FastEthernet0/1 switchport
Name: Fa0/1
Administrative Mode: trunk
Trunking Native Mode VLAN: 1 (default)
Administrative Allowed VLANs: 10,99",Guest WLAN 'Guest-Net' is erroneously mapped to VLAN 10 (Corp Internal) instead of VLAN 99 (Isolated Guest).,"WAP-Floor1(config)# wlan 2
WAP-Floor1(config-wlan)# vlan 99",RULE-04_VLAN_TRUNK_MISSING
NET-016,DNS Server IP Configuration Error on Client,Default Gateway & Subnetting,Layer 7,Medium,Workstation can ping external IP 8.8.8.8 successfully but fails to open http://cisco.com or resolve domain names.,Workstation static DNS server misconfigured to 192.168.1.254 (non-existent IP) instead of internal DNS server 10.1.1.53.,"Workstation> ipconfig /all
   IP Address. . . . . . . . . . . : 192.168.1.105
   Subnet Mask . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . : 192.168.1.1
   DNS Servers . . . . . . . . . . : 192.168.1.254

Workstation> nslookup cisco.com
DNS request timed out.
    timeout was 2 seconds.
*** Request to 192.168.1.254 timed out","DNS server IP set to unreachable host 192.168.1.254, breaking domain name resolution.",Reconfigure Workstation DNS settings to primary corporate DNS server 10.1.1.53.,RULE-02_GW_MISMATCH
NET-017,Duplex Mismatch Causing High CRC Errors & Sluggishness,Physical & Layer 2,Layer 1,Medium,File transfers between Server1 and Switch1 are extremely slow with frequent TCP retransmissions.,Switch interface Gi0/1 set to forced speed 1000 / full duplex while connected NIC autonegotiated to half duplex.,"Switch1# show interfaces GigabitEthernet0/1
GigabitEthernet0/1 is up, line protocol is up (connected)
  Hardware is Gigabit Ethernet, address is 0019.e762.a001
  Full-duplex, 1000Mb/s, media type is 1000BaseTX
  35412 input errors, 12044 CRC, 8402 frame, 0 overrun, 0 queue drops
  14902 late collisions, 43102 deferred","Duplex mismatch on GigabitEthernet0/1 (Switch forced full, peer half duplex) causing high CRC and late collision counters.","Switch1(config)# interface GigabitEthernet0/1
Switch1(config-if)# duplex auto
Switch1(config-if)# speed auto",RULE-01_INT_DOWN
NET-018,Default Route Missing on Edge Router,Static Routing,Layer 3,Critical,All corporate LAN users have inter-VLAN connectivity but zero access to internet destinations outside 10.0.0.0/8.,Edge Router routing table has routes for internal subnets but no default route (0.0.0.0 0.0.0.0) to ISP next-hop 203.0.113.1.,"Router-Edge# show ip route
Codes: C - connected, S - static, O - OSPF
Gateway of last resort is not set

      10.0.0.0/8 is subnetted, 3 subnets
C        10.1.1.0/24 is directly connected, GigabitEthernet0/0/0
C        10.1.2.0/24 is directly connected, GigabitEthernet0/0/1
O        10.2.0.0/16 [110/2] via 10.1.1.2, 01:14:22, GigabitEthernet0/0/0",Gateway of last resort is not set. Missing static default route 'ip route 0.0.0.0 0.0.0.0 203.0.113.1' on Edge router.,Router-Edge(config)# ip route 0.0.0.0 0.0.0.0 203.0.113.1,RULE-03_MISSING_ROUTE
NET-019,Spanning Tree Protocol (STP) Blocked Port Loop Prevention,VLAN & Trunking,Layer 2,Low,User reports high latency to Switch-C; traffic takes sub-optimal path through Switch-B.,"Redundant triangle switch topology (Switch-A, Switch-B, Switch-C). Switch-C Gi0/2 port is in STP BLK state due to lower root bridge ID on Switch-A.","Switch-C# show spanning-tree vlan 1
VLAN0001
  Spanning tree enabled protocol ieee
  Root ID    Priority    32769
             Address     000A.4111.1111
             Cost        19
             Port        Gi0/1 (GigabitEthernet0/1)
  
Interface        Role Sts Cost      Prio.Nbr Type
---------------- ---- --- --------- -------- --------------------------------
Gi0/1            Root FWD 19        128.1    P2p 
Gi0/2            Altn BLK 19        128.2    P2p",Expected STP topology state: Gi0/2 is in Alternate Blocking mode to prevent Layer 2 loop. Latency is expected behavior for redundant loop prevention.,"If Switch-C should be Root Bridge:
Switch-C(config)# spanning-tree vlan 1 root primary",RULE-04_VLAN_TRUNK_MISSING
NET-020,Switchport Access VLAN Mismatch on Link,VLAN & Trunking,Layer 2,High,Printer on Switch2 Fa0/12 cannot receive traffic from Print Server on Switch1 Fa0/12.,Switch1 Fa0/12 configured in access vlan 20 (Printers). Switch2 Fa0/12 configured in access vlan 1 (default).,"Switch1# show interfaces FastEthernet0/12 switchport
Name: Fa0/12
Operational Mode: static access
Access Mode VLAN: 20 (Printers)

Switch2# show interfaces FastEthernet0/12 switchport
Name: Fa0/12
Operational Mode: static access
Access Mode VLAN: 1 (default)",Port Fa0/12 on Switch2 is in VLAN 1 instead of VLAN 20 (Printers).,"Switch2(config)# interface FastEthernet0/12
Switch2(config-if)# switchport access vlan 20",RULE-04_VLAN_TRUNK_MISSING
NET-021,Port Security Violation Shutting Down Port,Security & ACLs,Layer 2,High,User plugged rogue wireless router into wall jack Fa0/4; port suddenly went dark and turned red.,Switchport Fa0/4 has sticky port-security with maximum 1 MAC address. Unauthorized MAC triggered err-disabled status.,"Switch1# show interfaces FastEthernet0/4
FastEthernet0/4 is down, line protocol is down (err-disabled)
  Hardware is Fast Ethernet, address is 0011.2233.4404

Switch1# show port-security interface FastEthernet0/4
Port Security              : Enabled
Port Status                : Secure-shutdown
Violation Mode             : Shutdown
Maximum MAC Addresses      : 1
Total MAC Addresses        : 1
Security Violation Count   : 1","Port Security violation triggered on Fa0/4 due to unexpected MAC address, placing interface into err-disabled state.","Remove unauthorized device, then reset port:
Switch1(config)# interface FastEthernet0/4
Switch1(config-if)# shutdown
Switch1(config-if)# no shutdown",RULE-01_INT_DOWN
NET-022,SVI Interface Down Due to Missing Active VLAN Ports,Inter-VLAN Routing,Layer 3,High,Layer 3 Switch SVI interface Vlan30 shows down/down state; inter-VLAN routing for VLAN 30 fails.,Switch-L3 SVI interface Vlan30 configured but all physical access/trunk ports carrying VLAN 30 are down or unassigned.,"Switch-L3# show ip interface brief
Interface              IP-Address      OK? Method Status                  Protocol
Vlan10                 192.168.10.1    YES manual up                      up
Vlan20                 192.168.20.1    YES manual up                      up
Vlan30                 192.168.30.1    YES manual down                    down

Switch-L3# show vlan id 30
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
30   VLAN0030                         active    ",SVI Vlan30 line protocol is down because no physical switchports assigned to VLAN 30 are active and up.,Assign at least one active trunk interface or access port to VLAN 30 on Switch-L3.,RULE-01_INT_DOWN
NET-023,HSRP Active/Active Split-Brain State,Inter-VLAN Routing,Layer 3,Critical,Intermittent packet loss for default gateway 10.1.1.1; ARP table on hosts flips back and forth between two MACs.,"Router-1 and Router-2 running HSRP group 1 on Gi0/0/0. Inter-router link down, causing both routers to assume HSRP Active state.","Router-1# show standby brief
                     P Active     Standby         Virtual IP
Gi0/0/0    1   P Active     local        10.1.1.3        10.1.1.1

Router-2# show standby brief
                     P Active     Standby         Virtual IP
Gi0/0/0    1   P Active     local        10.1.1.2        10.1.1.1",HSRP Split-Brain state: Both routers are in Active state because standby multicast hello packets cannot cross broken inter-router link.,Restore inter-router link connection or check interface trunk/VLAN settings between Router-1 and Router-2.,RULE-01_INT_DOWN
NET-024,BGP Neighbor Stuck in Active State,Dynamic Routing,Layer 3,High,ISP BGP peering session fails to establish; external routes not imported into corporate AS 65001.,"Edge Router attempting eBGP peering with ISP router 203.0.113.2. Remote AS specified as 65002 on local router, but ISP router is AS 65005.","Router-Edge# show ip bgp summary
BGP router identifier 10.255.255.1, local AS number 65001
BGP table version is 1, main routing table version 1

Neighbor        V    AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
203.0.113.2     4 65002       0       0        1    0    0 00:04:12 Active

Router-Edge# show running-config | section router bgp
router bgp 65001
 neighbor 203.0.113.2 remote-as 65002",BGP neighbor configuration lists wrong remote autonomous system number (remote-as 65002 instead of ISP actual AS 65005).,"Router-Edge(config)# router bgp 65001
Router-Edge(config-router)# no neighbor 203.0.113.2 remote-as 65002
Router-Edge(config-router)# neighbor 203.0.113.2 remote-as 65005",RULE-03_MISSING_ROUTE
NET-025,NTP Time Synchronization Failure,DHCP & Services,Layer 7,Low,Syslog timestamps on Core Switch are out of sync with log collector; NTP status shows unsynchronized.,Core Switch configured with `ntp server 192.168.1.50`. Access-list on router blocks UDP port 123.,"Core-Switch# show ntp status
Clock is unsynchronized, stratum 16, no reference clock
nominal freq is 250.0000 Hz, actual freq is 250.0000 Hz, precision is 2**18

Core-Switch# show ntp associations
  address         ref clock       st   when  poll reach  delay offset   disp
~192.168.1.50     .INIT.          16    64    64    0     0.00   0.000 15875.0","NTP association status is '.INIT.' with reach=0, indicating NTP packets on UDP port 123 are blocked by transit ACL.",Update transit ACL to permit UDP traffic from Core-Switch to NTP Server 192.168.1.50 eq 123.,RULE-05_ACL_DENY_TRAFFIC
NET-026,IP Helper Address Configured with Host IP Instead of Server IP,DHCP & Services,Layer 7,High,Branch clients fail to obtain IP addresses; DHCP DISCOVER packets forwarded to incorrect address.,Router subinterface configured with `ip helper-address 10.1.1.5` (a workstation) instead of `10.1.1.100` (DHCP Server).,"Router-Branch# show running-config interface GigabitEthernet0/0/0.10
Building configuration...
interface GigabitEthernet0/0/0.10
 encapsulation dot1Q 10
 ip address 10.2.10.1 255.255.255.0
 ip helper-address 10.1.1.5
end",IP helper-address is set to host IP 10.1.1.5 instead of DHCP server IP 10.1.1.100.,"Router-Branch(config)# interface GigabitEthernet0/0/0.10
Router-Branch(config-subif)# no ip helper-address 10.1.1.5
Router-Branch(config-subif)# ip helper-address 10.1.1.100",RULE-06_DHCP_HELPER_MISSING
NET-027,Static MAC Address Table Binding Error,Physical & Layer 2,Layer 2,Medium,Server at 192.168.1.20 suddenly loses link when moved from port Gi0/1 to port Gi0/2 on Switch1.,Switch1 has static MAC address entry forcing server MAC `0050.56a1.0001` to port Gi0/1.,"Switch1# show mac address-table static
          Mac Address Table
-------------------------------------------
Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
1       0050.56a1.0001    STATIC      Gi0/1","Static MAC address table entry binds server MAC to port Gi0/1, preventing switch from updating dynamic forwarding for port Gi0/2.",Switch1(config)# no mac address-table static 0050.56a1.0001 vlan 1 interface GigabitEthernet0/1,RULE-04_VLAN_TRUNK_MISSING
NET-028,EtherChannel Trunk Load-Balancing PAgP Mode Mismatch,VLAN & Trunking,Layer 2,High,Port-channel 1 interface between Switch-A and Switch-B remains down; individual interfaces suspended.,Switch-A ports set to `channel-group 1 mode auto` (PAgP) while Switch-B ports set to `channel-group 1 mode passive` (LACP).,"Switch-A# show etherchannel summary
Group  Port-channel  Protocol    Ports
------+-------------+-----------+-----------------------------------------------
1      Po1(SD)       PAgP        Gi0/1(s)   Gi0/2(s)

Switch-B# show etherchannel summary
Group  Port-channel  Protocol    Ports
------+-------------+-----------+-----------------------------------------------
1      Po1(SD)       LACP        Gi0/1(s)   Gi0/2(s)","Protocol mismatch on EtherChannel link (Switch-A using Cisco proprietary PAgP, Switch-B using IEEE 802.3ad LACP).","Align both switches to open-standard LACP:
Switch-A(config)# interface range GigabitEthernet0/1 - 2
Switch-A(config-if-range)# channel-group 1 mode active",RULE-04_VLAN_TRUNK_MISSING
NET-029,Subnet Mask /28 vs /24 Broadcast Mismatch,Default Gateway & Subnetting,Layer 3,Medium,Host 192.168.1.18 cannot reach router gateway at 192.168.1.1; host 192.168.1.10 has no issues.,"Router gateway configured as 192.168.1.1 255.255.255.240 (/28, valid range .1-.14). Host 192.168.1.18 configured as /24.","Router1# show ip interface GigabitEthernet0/0/0
GigabitEthernet0/0/0 is up, line protocol is up
  Internet address is 192.168.1.1/28

Host18> ipconfig /all
   IP Address. . . . . . . . . . . : 192.168.1.18
   Subnet Mask . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . : 192.168.1.1","Router interface uses subnet mask 255.255.255.240 (/28), making 192.168.1.18 fall into a separate subnet (192.168.1.16/28).","Router1(config)# interface GigabitEthernet0/0/0
Router1(config-if)# ip address 192.168.1.1 255.255.255.0",RULE-02_GW_MISMATCH
NET-030,IPv6 Router Advertisement (RA) Guard Blocking SLAAC,Wireless & Security,Layer 3,Medium,Dual-stack IPv6 clients fail to auto-configure global unicast IPv6 addresses (2001:db8:1::/64) via SLAAC.,"Switch-1 access ports have RA Guard enabled in strict mode, mistakenly dropping Router Advertisements from gateway router.","Switch1# show ipv6 nd raguard policy RAGUARD_POLICY
Policy Name: RAGUARD_POLICY
  Device Role: host
  Action: block

Switch1# show ipv6 nd raguard interface GigabitEthernet0/1
Interface Gi0/1 (Uplink to Router): RAGUARD_POLICY (Role: host)","RA Guard policy on router uplink port Gi0/1 is set to role 'host', dropping legitimate IPv6 RAs sent by gateway router.","Switch1(config)# interface GigabitEthernet0/1
Switch1(config-if)# ipv6 nd raguard policy RAGUARD_ROUTER_POLICY
Switch1(config-if)# device-role router",RULE-01_INT_DOWN
